id,name,capacity
00628, 휘봉고등학교 앞,15
00630, 동대문구 보건소,15
00631, 답십리역 1번출구,15
00633, 청량리 기업은행 앞,8
00634, 외국어대 정문 앞,24
00635, 시조사 앞,12
00636, 세종대왕기념관 교차로,9
00637, KAIST 경영대학 앞,10
00638, 서울시립대 정보기술관,10
00639, 서울시립대 후문,14
00640, 동대문경찰서 교차로,6
00641, 용두역 4번출구,10
00642, 신답역 사거리,9
00643, 동대문구민체육센터 (육교아래),10
00648, 장안동위더스빌옆,15
00650, 중랑교사거리,20
00652, 답십리 래미안엘파인아파트 입구,10
00654, 전농동 텃골공원,10
00656, 영휘원 교차로,10
00657, 동대문롯데캐슬아파트 앞,13
00661, 경희대학교 청운관,15
00663,외대앞역 3번출구,10
00664, 서울시립대 건설공학관,10
00665,이문동 쌍용아파트 정문,11
00666,이문대성유니드아파트 앞,20
00667,청량차도 육교 밑,7
00669,청계한신휴플러스앞 삼거리,10
00670,삼육서울병원 버스정류장,9
00671,대광빌딩,10
00672,대광고등학교,17
00673,안암골벽산아파트(후문),10
00674,고대앞사거리 교통섬,15
00676,FITI시험연구원 앞,9
00678,장안힐스테이트(아) 앞,21
00679,전농SK아파트 앞,10
00680,꿈마루어린이도서관 앞,22
00681,서울특별시 동부교육지원청(육교),14
00700, KB국민은행 염창역 지점 앞,20
00701, 목동사거리 부근,8
00702, 목4동주민센터 옆,19
00703, 오목교역 7번출구 앞,12
00704, 남부법원검찰청 교차로,14
00706, 신정네거리역,15
00708, 서울출입국관리사무소 앞,16
00709, 신정3동 현장민원실 앞,20
00710, 금옥여고보도육교,10
00711, 신일해피트리아파트 앞,20
00712, 강월초교입구 사거리,14
00713, 양서중학교 옆,20
00714, 한국SGI 양천문화회관 앞,10
00716,신정6동 주민센터 인근,23
00719, 홍익병원앞 교차로,10
00720, 서울강월초등학교 앞,10
00722, 경서농협 버스정류장(우리은행신정동지점방향),10
00723, SBS방송국,15
00724, 계남공원 입구 주출입구 좌측,10
00725, 양강중학교앞 교차로,15
00726, 목동3단지 시내버스정류장,18
00729, 서부식자재마트 건너편,10
00731, 서울시 도로환경관리센터,10
00733, 신정이펜하우스314동,10
00734, 신트리공원 입구,10
00735, 영도초등학교,10
00736, 오솔길공원,10
00737, 장수공원,10
00739, 신월사거리,15
00740, 으뜸공원,10
00741, 화곡로 입구 교차로,10
00742, 등촌역 5번 출구 뒤,10
00743, 현대6차아파트 101동 옆,10
00744, 신목동역 2번 출구,40
00745, 강서초등학교,10
00746, 목동2단지 상가,10
00747, 목동3단지 상가,10
00748, 목동운동장,15
00749, 이대목동병원보도육교,10
00750, 연의근린공원 건너편,10
00752, 성원2차 아파트,10
00754, 목동1단지아파트 118동 앞,10
00755, 목동1단지아파트 상가 앞,10
00756, 목동주차장,15
00757, 신정이펜하우스 1단지아파트 입구 사거리,10
00758, 한사랑교회 앞,13
00759, 보아스아파트 앞,10
00760, 잣절보도육교 아래,10
00762, 오목로 무중력지대 앞,10
00763, 목동11단지 아파트,10
00764, 목동청소년수련관,30
00765, 오목교역 3번출구,12
00766, 신목동역 3번출구,15
00767,신정숲속마을아파트,10
00768,목동5단지아파트 501동,15
00769,CBS방송국 앞,20
00770,목동역5번출구 교통정보센터 앞,15
00771,목동아파트 703동 앞,8
00773,"염창역 3, 4번 출구 사이",10
00774,등촌역 4번 출구,11
00775,세종그랑시아 앞(102동),10
00776,목마공원,15
00777,신월6차보람아파트 앞,10
00779, 신정1동 주민센터 앞,20
00780,신정교 하부,15
00781,신정보도육교 아래,15
00782,서남병원 후문,20
00785,"양천구청, 보건소 사잇길",24
00786,목동아파트 8단지 상가동 앞,9
00787,양천아파트 입구,14
00788,양천구청역 2번출구 옆,15
00790,화곡고가 사거리,30
00791,현대하이페리온,15
00792,목동트라팰리스 웨스턴에비뉴,20
00793,목동5단지아파트 534동,15
00794,양천문화회관,10
00795,양천 해누리타운,22
00796,목동아파트 14단지 B상가 앞,10
00797,목동아파트 1422동 1434동 사잇길,10
00800, 목월공원 앞,15
00802, 한강진역 2번 출구 앞,9
00805, 문배어린이공원 앞,9
00806, 전자랜드 본관 앞,20
00807, 서울역 12번 출구 앞,10
00808, 서빙고동 금호맨션 앞,10
00809, 한남 유수지 복개주차장,10
00810, 이태원지하보도,10
00811, 녹사평역1번출구,20
00813, 삼각지역 3번출구,20
00815, LIG강촌아파트 103동앞,30
00816, 신용산역 6번출구 앞,25
00817, 삼각지역 4번출구 앞,9
00818, 숙명여대 입구 교차로,12
00819, 선린인터넷 고등학교,12
00820, 청파동입구 교차로,10
00822, 이촌1동 마을공원,10
00823, 효창동주민센터 앞,10
00825, 서빙고동 주민센터 앞,15
00826, 서울역 서부교차로2,20
00827, 국군복지단,14
00828, 숙대입구역 8번,7
00829,한강대교 북단 교차로,40
00830,강변삼성스위트아파트 앞,10
00832, 이촌1동 주민센터 뒤,20
00834, 효창공원앞역 3번출구 뒤,15
00835, 남영역 건너편,10
00836, 현대자동차서비스 앞,15
00837, 한남나들목 입구,10
00838, 숙대입구역 4번출구,8
00839, 보광동 삼성리버빌아파트 앞,10
00840, 용산 파크타워 앞,10
00841, 신용산역 1번 출구,30
00843,이태원관광특구B(용산구청쪽),19
